"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Total","Medical Insurance","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","22281","26905","31196","37469","39539","42935","50005","47540","36055","27383","28300","27761","29797","32547","30701","35490","34220",
"Total","Medical Insurance","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","22491","27132","31419","37753","39880","43238","50466","47938","36362","27601","28498","28023","30062","32943","31242","36340","35135",
"Total","Medical Insurance","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","5593","5599","5181","6431","6632","9860","7379","7629","6287","","","","","","","","",
"Total","Medical Insurance","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","5668","5704","5266","6555","6769","10139","7598","7849","6446","","","","","","","","",
"Total","Medical Insurance",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","6571","6830","6807","6645","6793","8466","8789","8894",
"Total","Medical Insurance",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","6702","6978","6960","6806","6965","8847","9227","9646",
"Total","Medical Insurance","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","306","285","246","834","838","913","935","998","987","973","949","920","810","775","741","671","886",
"Total","Medical Insurance","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","316","288","252","857","878","952","996","1037","1007","1021","973","965","850","815","800","703","918",
"Total","Medical Insurance","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","263629","262320","264845","264699","239873","220712","221097","211740","198557","188353","184139","181710","169864","164901","163577","154481","150810",
"Total","Medical Insurance","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","271680","270614","273133","273560","244572","222506","223417","213922","200649","192132","194629","194615","174866","166926","165671","156615","152893",
"Total","Medical Insurance","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","5534","3389","1879","1689","1424","1560","1452","1311","1724","1391","2155","4920","6958","8209","8819","11743","13887",
"Total","Medical Insurance","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","5596","3419","1895","1702","1434","1580","1469","1321","1747","1425","2201","5035","7121","8385","9061","12067","14240",
"Total","Medical Insurance","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","83517","99165","106549","130753","145403","141085","156572","153485","147664","145385","150683","153457","156981","162834","166815","177059","178523",
"Total","Medical Insurance","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","85991","102298","109959","135063","150451","146137","162860","160035","153700","151621","157245","160436","164345","170966","175449","187136","189706",
"Total","Medical Insurance","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","42957","48603","51987","60790","59785","59254","56382","58104","57744","62421","60865","31025","31878","32815",
"Total","Medical Insurance","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","44803","50680","54296","63288","62290","61437","58105","59649","59245","64105","62423","32290","33150","34033",
"Total","Medical Insurance","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","28956","29950","30009","10169","8929","8255","7378","6907","6436","5752","4909","5629","5567","3005","2421","2188","2121",
"Total","Medical Insurance","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","31140","32219","32294","11111","9746","8991","7953","7291","6765","6011","5199","5957","5849","3075","2489","2261","2180",
"Total","Medical Insurance","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","2502",
"Total","Medical Insurance","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","2574",
"Total","Medical Benefit","Total","Surgery Received Person[Person]","Person","56645","59602","61198","63983","61974","54737","57541","56995","58140","58415","62556","63336","65169","68186","65064","69297","68910",
"Total","Medical Benefit","Total","Surgery Count[Unit]","Surgery","66144","75797","71334","75397","72562","64304","66437","66660","67742","68962","73839","75138","77609","81919","78661","85214","85163",
"Total","Medical Benefit","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","14197","14580","14681","14650","13401","12311","11857","11671","12002","12385","13283","13598","14225","15440","14077","15064","14878",
"Total","Medical Benefit","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","18532","21011","19812","19970","18125","16790","16197","16150","16762","17530","18738","19223","20312","22396","20591","22015","21665",
"Total","Medical Benefit","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","1752","1744","1810","1557","1311","1123","1125","1033","842","750","839","839","793","745","577","429","296",
"Total","Medical Benefit","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","1758","1823","1813","1568","1323","1134","1134","1044","856","760","840","858","805","757","589","443","307",
"Total","Medical Benefit","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","337","400","462","499","513","510","563","621","631","608","642","647","760","840","743","904","981",
"Total","Medical Benefit","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","348","441","471","511","528","526","579","654","655","625","666","665","784","877","785","975","1050",
"Total","Medical Benefit","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","2195","2593","2798","3056","3285","3090","3440","3509","3533","3556","4255","4475","4819","4957","4827","5103","4975",
"Total","Medical Benefit","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","2270","2927","2895","3161","3352","3166","3549","3629","3630","3668","4402","4625","4991","5189","5105","5575","5377",
"Total","Medical Benefit","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","228","248","247","214","223","215","201","200","221","254","266","287","287","298","320","368","381",
"Total","Medical Benefit","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","229","269","248","216","223","217","203","202","224","257","268","290","290","298","328","375","410",
"Total","Medical Benefit","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","236","218","151","127","148","135","127","140","113","121","143","156","168","170","211","238","263",
"Total","Medical Benefit","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","245","248","152","131","154","139","131","146","114","130","151","164","182","186","223","262","283",
"Total","Medical Benefit","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","413","480","91","443","475","447","498","534","460","424","450","485","489","578","521","597","599",
"Total","Medical Benefit","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","422","537","95","460","484","457","519","567","485","448","463","501","506","606","540","624","630",
"Total","Medical Benefit","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","4374","4578","4732","4657","4100","3553","3493","3343","3023","2844","2962","2603","2464","2513","2369","2314","2122",
"Total","Medical Benefit","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","4383","4968","4737","4673","4106","3556","3498","3351","3030","2857","2993","2629","2498","2553","2485","2519","2300",
"Total","Medical Benefit","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","525","546","453","492","330","388","681","706","759","767","886","913","962","1015","1021","1329","1510",
"Total","Medical Benefit","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","548","628","471","506","337","394","717","740","790","814","922","978","1010","1068","1086","1436","1723",
"Total","Medical Benefit","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","1767","1920","2131","2570","2746","2587","2779","2921","3083","3129","3426","3544","3893","4276","4301","4582","4479",
"Total","Medical Benefit","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","1767","2128","2131","2582","2751","2591","2793","2956","3108","3165","3462","3574","3942","4330","4463","4880","4805",
"Total","Medical Benefit","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","1246","1490","1602","1914","2155","1897","2150","2213","2411","2452","2740","2886","3142","3326","3432","4595","4689",
"Total","Medical Benefit","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","1393","1814","1797","2217","2496","2221","2499","2610","2849","2928","3351","3561","3929","4233","4505","6326","6495",
"Total","Medical Benefit","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","1655","1660","1605","1606","1261","1167","1195","1238","1224","1223","1254","1231","1207","1254","1185","1298","1319",
